dir,session,video,color type,color pair,tracked,error,lever,mag,event id,fiber pho,coop thresh,animal id,cohort,visual,vehicle,familiar,useable
PairedTestingSessions,092724_FiberPho_KL008G_KL002_TimeOut,092724_Cam1_TrNum15_Coop_KL008G-KL008B,dyed,GB,False,,True,False,False,True,1.0,KL008G-KL008B,KL,transparent,,familiar,unuseable
PairedTestingSessions,092724_FiberPho_KL008G_KL002_TimeOut,092724_Cam1_TrNum9_Coop_KL008G-KL006R,dyed,RG,True,0.1400374591535825,True,True,True,True,1.0,KL008G-KL006R,KL,transparent,,unfamiliar,control
PairedTestingSessions,092724_FiberPho_KL008G_KL002_TimeOut,092724_Cam1_TrNum13_Coop_KL008G-KL002Y,dyed,GY,True,0.2061024894924022,True,True,True,True,1.0,KL008G-KL002Y,KL,transparent,,unfamiliar,unuseable
PairedTestingSessions,050324_KL002_TimeOut_Opaque,050324_Cam1_TrNum9_Coop_KL002B-KL002Y,dyed,YB,True,0.0308453140201059,True,True,True,False,1.0,KL002B-KL002Y,KL,opaque,,familiar,control
PairedTestingSessions,050324_KL002_TimeOut_Opaque,050324_Cam1_TrNum11_Coop_KL002B-KL002Y,dyed,YB,True,0.0391428970917226,True,True,True,False,1.0,KL002B-KL002Y,KL,opaque,,familiar,control
PairedTestingSessions,041625_PairedTesting_TimeOut_DREADD_KM009R-SAL_KM009G-CNO_KM016B-SAL,041625_Cam1_TrNum5_Coop_KM009G-KM016B_CNO-SAL,collar,GB,False,,False,False,False,False,,KM009G-KM016B,KM,transparent,,unsure,unuseable
PairedTestingSessions,041625_PairedTesting_TimeOut_DREADD_KM009R-SAL_KM009G-CNO_KM016B-SAL,041625_Cam1_TrNum4_Coop_KM009G-KM009R_CNO-SAL,collar,RG,True,0.0382690651612285,False,False,False,False,,KM009G-KM009R,KM,transparent,,unsure,unuseable
PairedTestingSessions,052924_EB015R-011Y_017B_TimeOut_CNO,052924_Cam3_TrNum10_Coop_EB015R-EB017B,dyed,RB,True,0.0568214564707924,True,True,True,False,1.0,EB015R-EB017B,EB,transparent,CNO,familiar,normal
PairedTestingSessions,052924_EB015R-011Y_017B_TimeOut_CNO,052924_Cam3_TrNum12_Coop_EB015R-EB011Y,dyed,RY,True,0.06002079002079,True,True,True,False,1.0,EB015R-EB011Y,EB,transparent,CNO,familiar,normal
PairedTestingSessions,040925_PairedTesting_TimeOut_DREADD_KM013R-CNO_KM013G-SAL_KM011B-SAL,040925_Cam2_TrNum4_Coop_KM013R-KM011B_CNO-SAL,collar,RB,False,,False,False,False,False,,KM013R-KM011B,KM,transparent,,unsure,unuseable
PairedTestingSessions,040925_PairedTesting_TimeOut_DREADD_KM013R-CNO_KM013G-SAL_KM011B-SAL,040925_Cam2_TrNum6_Coop_KM013R-KM013G_CNO-SAL,collar,RG,True,0.0651055889313672,False,False,False,False,,KM013R-KM013G,KM,transparent,,unsure,unuseable
PairedTestingSessions,052024_EB011Y-015R-017B_TimeOut_VEH_BAD,052024_Cam1_TrNum7_Coop_EB011Y-EB017B,dyed,YB,True,0.221642948674715,True,True,True,False,1.0,EB011Y-EB017B,EB,transparent,VEH,familiar,unuseable
PairedTestingSessions,051524_EB015R-011Y_033Y_TimeOut_VEH,051524_Cam3_TrNum12_Coop_EB015R-EB033Y,dyed,RY,True,0.174690162664601,True,True,True,False,1.0,EB015R-EB033Y,EB,transparent,VEH,familiar,control
PairedTestingSessions,051524_EB015R-011Y_033Y_TimeOut_VEH,051524_Cam3_TrNum8_Coop_EB015R-EB011Y,dyed,RY,True,0.0580078125,True,True,True,False,1.0,EB015R-EB011Y,EB,transparent,VEH,familiar,control
PairedTestingSessions,091024_FiberPho_KL008G-KL005_TimeOut,091024_Cam2_TrNum8_Coop_KL008G-KL005B,dyed,GB,False,,False,False,False,True,,KL008G-KL005B,KL,transparent,,unfamiliar,unuseable
PairedTestingSessions,091024_FiberPho_KL008G-KL005_TimeOut,091024_Cam2_TrNum12_Coop_KL008G-KL005Y,dyed,GY,True,0.2459256844850065,False,False,False,True,,KL008G-KL005Y,KL,transparent,,unfamiliar,unuseable
PairedTestingSessions,091024_FiberPho_KL008G-KL005_TimeOut,091024_Cam2_TrNum10_Coop_KL008G-KL008B,dyed,GB,False,,False,False,False,True,,KL008G-KL008B,KL,transparent,,familiar,unuseable
PairedTestingSessions,052124_EB015R-011Y_019Y_TimeOut_CNO,052124_Cam4_TrNum8_Coop_EB015R-EB011Y,dyed,RY,True,0.1360655737704918,True,True,True,False,1.0,EB015R-EB011Y,EB,transparent,CNO,familiar,normal
PairedTestingSessions,052124_EB015R-011Y_019Y_TimeOut_CNO,052124_Cam4_TrNum12_Coop_EB015R-EB019Y,dyed,RY,True,0.1892646602544213,True,True,True,False,1.0,EB015R-EB019Y,EB,transparent,CNO,familiar,normal
PairedTestingSessions,052824_EB031B-001R-019Y_TimeOut_VEH,052824_Cam3_TrNum12_Coop_EB031B-EB019Y,dyed,YB,True,0.1527316651521532,True,True,True,False,1.0,EB031B-EB019Y,EB,transparent,VEH,familiar,control
PairedTestingSessions,052824_EB031B-001R-019Y_TimeOut_VEH,052824_Cam3_TrNum10_Coop_EB031B-EB001R,dyed,RB,True,0.0388710163868503,True,True,True,False,1.0,EB031B-EB001R,EB,transparent,VEH,familiar,control
PairedTestingSessions,022725_PairedTesting_TimeOut_DREADD_KL015-KL009_DCZ-SAL,022725_Cam2_TrNum6_Coop_KL015R-KL009G_DCZ-SAL,collar,RG,True,0.0544279835390946,False,False,False,False,,KL015R-KL009G,KL,transparent,,unfamiliar,unuseable
PairedTestingSessions,022725_PairedTesting_TimeOut_DREADD_KL015-KL009_DCZ-SAL,022725_Cam2_TrNum7_Coop_KL015R-KL015G_DCZ-SAL,collar,RG,True,0.0424371765459104,False,False,False,False,,KL015R-KL015G,KL,transparent,,familiar,unuseable
PairedTestingSessions,022725_PairedTesting_TimeOut_DREADD_KL015-KL009_DCZ-SAL,022725_Cam2_TrNum5_Coop_KL015G-KL009R_SAL-SAL,collar,RG,True,0.0527876858914558,False,False,False,False,,KL015G-KL009R,KL,transparent,,unfamiliar,unuseable
PairedTestingSessions,043024_KL003_TimeOut_Translucent,043024_Cam1_TrNum8_Coop_KL003G-KL003B,dyed,GB,False,,True,True,False,False,1.0,KL003G-KL003B,KL,translucent,,familiar,unuseable
PairedTestingSessions,043024_KL003_TimeOut_Translucent,043024_Cam1_TrNum10_Coop_KL003G-KL003B,dyed,GB,False,,True,True,False,False,1.0,KL003G-KL003B,KL,translucent,,familiar,unuseable
PairedTestingSessions,050124_KL008_TimeOut_Opaque,050124_Cam4_TrNum7_Coop_KL008B-KL008G,dyed,GB,False,,True,True,False,False,1.0,KL008B-KL008G,KL,opaque,,familiar,unuseable
PairedTestingSessions,050124_KL008_TimeOut_Opaque,050124_Cam4_TrNum9_Coop_KL008B-KL008G,dyed,GB,False,,True,True,False,False,1.0,KL008B-KL008G,KL,opaque,,familiar,unuseable
PairedTestingSessions,021925_PairedTesting_TimeOut_DREADD_KL010-KM013G_SAL-DCZ,021925_Cam2_TrNum6_Coop_KM010Y-KM013G_DCZ-SAL,collar,GY,False,,False,False,False,False,,KM010Y-KM013G,KM,transparent,,unsure,unuseable
PairedTestingSessions,021925_PairedTesting_TimeOut_DREADD_KL010-KM013G_SAL-DCZ,021925_Cam2_TrNum4_Coop_KM010B-KM010Y_SAL-DCZ,collar,YB,True,0.3885640189065964,False,False,False,False,,KM010B-KM010Y,KM,transparent,,unsure,unuseable
PairedTestingSessions,021925_PairedTesting_TimeOut_DREADD_KL010-KM013G_SAL-DCZ,021925_Cam2_TrNum5_Coop_KM010B-KM013G_SAL-SAL,collar,GB,False,,False,False,False,False,,KM010B-KM013G,KM,transparent,,unsure,unuseable
PairedTestingSessions,022625_PairedTesting_TimeOut_DREADD_KL013-KL016Y_SAL-DCZ,022625_Cam2_TrNum4_Coop_KL013R-KL013G_SAL-DCZ,collar,RG,True,0.0543419708368161,False,False,False,False,,KL013R-KL013G,KL,transparent,,familiar,unuseable
PairedTestingSessions,022625_PairedTesting_TimeOut_DREADD_KL013-KL016Y_SAL-DCZ,022625_Cam2_TrNum8_Coop_KL013G-KL016Y_DCZ-SAL,collar,GY,False,,False,False,False,False,,KL013G-KL016Y,KL,transparent,,unfamiliar,unuseable
PairedTestingSessions,022625_PairedTesting_TimeOut_DREADD_KL013-KL016Y_SAL-DCZ,022625_Cam2_TrNum7_Coop_KL013R-KL016Y_SAL-SAL,collar,RY,False,,False,False,False,False,,KL013R-KL016Y,KL,transparent,,unfamiliar,unuseable
PairedTestingSessions,050524_KL008_TimeOut_Translucent,050524_Cam1_TrNum12_Coop_KL008B-KL008G,dyed,GB,False,,True,True,False,False,1.0,KL008B-KL008G,KL,translucent,,familiar,unuseable
PairedTestingSessions,050524_KL008_TimeOut_Translucent,050524_Cam1_TrNum5_Coop_KL008B-KL008G,dyed,GB,False,,True,True,False,False,1.0,KL008B-KL008G,KL,translucent,,familiar,unuseable
PairedTestingSessions,042924_KL006_TimeOut,042924_Cam1_TrNum9_Coop_KL006G-KL006R,dyed,RG,True,0.2044885253022515,True,True,True,False,1.0,KL006G-KL006R,KL,transparent,,familiar,unuseable
PairedTestingSessions,042924_KL006_TimeOut,042924_Cam1_TrNum11_Coop_KL006G-KL006R,dyed,RG,True,0.1915161580513459,True,True,True,False,1.0,KL006G-KL006R,KL,transparent,,familiar,normal
PairedTestingSessions,042224_KL005_TimeOut,042224_Cam2_TrNum5_Coop_KL005Y-KL005B,dyed,YB,True,0.0827981437069797,True,True,True,False,1.0,KL005Y-KL005B,KL,transparent,,familiar,normal
PairedTestingSessions,042224_KL005_TimeOut,042224_Cam2_TrNum7_Coop_KL005Y-KL005B,dyed,YB,True,0.184577778783695,True,True,True,False,1.0,KL005Y-KL005B,KL,transparent,,familiar,normal
PairedTestingSessions,042324_KL001_TimeOut,042324_Cam3_TrNum7_Coop_KL001B-KL001Y,dyed,YB,True,0.4182631038026721,True,True,True,False,1.0,KL001B-KL001Y,KL,transparent,,familiar,unuseable
PairedTestingSessions,042324_KL001_TimeOut,042324_Cam3_TrNum12_Coop_KL001B-KL001Y,dyed,YB,True,0.4235776028899496,True,True,True,False,1.0,KL001B-KL001Y,KL,transparent,,familiar,unuseable
PairedTestingSessions,050524_KL006_TimeOut_Opaque,050524_Cam3_TrNum7_Coop_KL006G-KL006R,dyed,RG,True,0.0628579489349696,True,True,True,False,1.0,KL006G-KL006R,KL,opaque,,familiar,control
PairedTestingSessions,050524_KL006_TimeOut_Opaque,050524_Cam3_TrNum10_Coop_KL006G-KL006R,dyed,RG,True,0.0968220193561672,True,True,True,False,1.0,KL006G-KL006R,KL,opaque,,familiar,control
PairedTestingSessions,042224_KL008_TimeOut,042224_Cam1_TrNum8_Coop_KL008B-KL008G,dyed,GB,False,,True,True,False,False,1.0,KL008B-KL008G,KL,transparent,,familiar,unuseable
