directory,session,vid,video type,color type,preds,error,lever,mag,event id,neuronal
PairedTestingSessions,091324_FiberPho_KL006G-KL002_TimeOut,091324_Cam1_TrNum12_Coop_KL006G-KL002Y.mp4,Coop,dyed,True,0.007877842993396918,True,True,True,True
PairedTestingSessions,091824_FiberPho_KL006G-KL003_TimeOut,091824_Cam1_TrNum8_Coop_KL006G-KL006R.mp4,Coop,dyed,True,0.0020724185953975727,True,True,True,True
PairedTestingSessions,091824_FiberPho_KL006G-KL003_TimeOut,091824_Cam1_TrNum10_Coop_KL006G-KL001Y.mp4,Coop,dyed,True,0.0069907515349343285,True,True,True,True
PairedTestingSessions,092624_FiberPho_KL003B-KL005_2X_TimeOut,092624_Cam1_TrNum12_Coop_KL003B-KL001Y.mp4,Coop,dyed,True,0.0023487828516048116,True,True,True,True
PairedTestingSessions,092624_FiberPho_KL003B-KL005_2X_TimeOut,092624_Cam1_TrNum10_Coop_KL003B-KL005Y.mp4,Coop,dyed,True,0.0009770790478989128,True,True,True,True
PairedTestingSessions,091124_FiberPho_KL007Y-KL004_TimeOut,091124_Cam2_TrNum14_Coop_KL007Y-KL004G.mp4,Coop,dyed,True,0.006878147029204431,True,True,True,True
PairedTestingSessions,091124_FiberPho_KL007Y-KL004_TimeOut,091124_Cam2_TrNum12_Coop_KL007Y-KL007G.mp4,Coop,dyed,True,0.008274069285060073,True,True,True,True
PairedTestingSessions,092424_FiberPho_KL002B-KL001_TimeOut,092424_Cam1_TrNum8_Coop_KL002B-KL002Y.mp4,Coop,dyed,True,0.00023090244371752933,True,True,True,True
PairedTestingSessions,092424_FiberPho_KL002B-KL001_TimeOut,092424_Cam1_TrNum14_Coop_KL002B-KL006R.mp4,Coop,dyed,True,0.0025437516947915146,True,True,True,True
PairedTestingSessions,092424_FiberPho_KL002B-KL001_TimeOut,092424_Cam1_TrNum10_Coop_KL002B-KL001Y.mp4,Coop,dyed,True,0.0042057097819423765,True,True,True,True
PairedTestingSessions,100224_FiberPho_KL002Y-KL003_TimeOut,100224_Cam2_TrNum12_Coop_KL002Y-KL002B.mp4,Coop,dyed,True,0.00028140013726835967,True,True,True,True
PairedTestingSessions,100224_FiberPho_KL002Y-KL003_TimeOut,100224_Cam2_TrNum10_Coop_KL002Y-KL003B.mp4,Coop,dyed,True,0.000335195530726257,True,True,True,True
PairedTestingSessions,092524_FiberPho_KL006G-KL002_2X_TimeOut,092524_Cam2_TrNum14_Coop_KL006G-KL002Y.mp4,Coop,dyed,True,0.0023142395626242545,True,True,True,True
PairedTestingSessions,092524_FiberPho_KL006G-KL002_2X_TimeOut,092524_Cam2_TrNum12_Coop_KL006G-KL006R.mp4,Coop,dyed,True,0.0015903905516038116,True,True,True,True
