vid,session,single/multi,test/train,pred,color pair,initial nan,vel nan,correct,final nan,levers,mags,trial type,familiarity,fiber pho,initial nan no tail,vel nan no tail
092424_Cam1_TrNum8_Coop_KL002B-KL002Y,092424_FiberPho_KL002B-KL001_TimeOut,multi,test,True,YB,0.7344577695119605,0.7497787468735971,False,-1,True,True,coop,TP,True,0.6757920220611813,0.6949031616751107
092424_Cam1_TrNum14_Coop_KL002B-KL006R,092424_FiberPho_KL002B-KL001_TimeOut,multi,test,True,RB,0.7611618690029203,0.7688965373383396,False,-1,True,True,coop,UF,True,0.711563934084272,0.7211227576136837
092424_Cam1_TrNum10_Coop_KL002B-KL001Y,092424_FiberPho_KL002B-KL001_TimeOut,multi,test,True,YB,0.8411540650584475,0.8499102491134364,False,-1,True,True,coop,UF,True,0.8059246530362069,0.8168151569545992
092424_Cam2_TrNum8_Coop_KL005Y-KL003G,092424_FiberPho_KL005Y-KL008_TimeOut,multi,test,True,GY,0.7351555724197745,0.7486854943625325,False,-1,True,True,coop,UF,True,0.6770517129228101,0.6938590904163053
092424_Cam2_TrNum12_Coop_KL005Y-KL008B,092424_FiberPho_KL005Y-KL008_TimeOut,multi,test,True,YB,0.8716902717777656,0.8729315907475256,False,-1,False,False,coop,UF,True,0.8445685459616121,0.8460860173894023
092524_Cam1_TrNum12_Coop_KL005Y-KL003G,092524_FiberPho_KL005Y-KL003_2X_TimeOut,multi,test,True,GY,0.7597635796265934,0.7688210715607976,False,-1,True,True,coop,UF,True,0.7067289892632358,0.7179979637171418
092524_Cam1_TrNum10_Coop_KL005Y-KL005B,092524_FiberPho_KL005Y-KL003_2X_TimeOut,multi,test,True,YB,0.8010174353457935,0.8122047420554883,False,-1,True,True,coop,TP,True,0.7553953206938282,0.7693346331406032
092524_Cam1_TrNum8_Coop_KL005Y-KL006R,092524_FiberPho_KL005Y-KL003_2X_TimeOut,multi,test,True,RY,0.7704115562823658,0.7805042245843554,False,-1,True,True,coop,UF,True,0.7206152902698283,0.733176614881439
092524_Cam2_TrNum8_Coop_KL006G-KL002B,092524_FiberPho_KL006G-KL002_2X_TimeOut,multi,test,False,GB,-1.0,-1.0,False,-1,True,False,coop,UF,True,,
092524_Cam2_TrNum14_Coop_KL006G-KL002Y,092524_FiberPho_KL006G-KL002_2X_TimeOut,multi,test,True,GY,0.6480181411530815,0.6858909045725646,False,-1,True,True,coop,UF,True,0.5687981486083499,0.6160769756461233
092524_Cam2_TrNum12_Coop_KL006G-KL006R,092524_FiberPho_KL006G-KL002_2X_TimeOut,multi,test,True,RG,0.6762783518990739,0.7022345993826332,False,-1,True,True,coop,TP,True,0.5989296738692793,0.6313078781371628
092624_Cam2_TrNum14_Coop_KL002B-KL006R,092624_FiberPho_KL002B-KL006_2X_TimeOut,multi,test,True,RB,0.7798601826030485,0.7893188677082935,False,-1,True,True,coop,UF,True,0.730373992436108,0.7421543721587653
092624_Cam2_TrNum12_Coop_KL002B-KL002Y,092624_FiberPho_KL002B-KL006_2X_TimeOut,multi,test,True,YB,0.7556846794499322,0.7724966104977726,False,-1,True,True,coop,TP,True,0.6997869455742786,0.7207615081670863
092624_Cam2_TrNum10_Coop_KL002B-KL008G,092624_FiberPho_KL002B-KL006_2X_TimeOut,multi,test,True,GB,0.8250328252554662,0.8289404578409545,False,-1,True,True,coop,UF,True,0.7899397727921448,0.7947351144602386
092624_Cam1_TrNum8_Coop_KL003B-KL003G,092624_FiberPho_KL003B-KL005_2X_TimeOut,multi,test,True,GB,0.6470996569057688,0.6739407962977739,False,-1,True,True,coop,TP,True,0.5664346126226761,0.5998563791590202
092624_Cam1_TrNum12_Coop_KL003B-KL001Y,092624_FiberPho_KL003B-KL005_2X_TimeOut,multi,test,True,YB,0.7460121999885981,0.7620090074682173,False,-1,True,True,coop,UF,True,0.6863776295536173,0.7063665127415769
092624_Cam1_TrNum10_Coop_KL003B-KL005Y,092624_FiberPho_KL003B-KL005_2X_TimeOut,multi,test,True,YB,0.7607424457613008,0.7812870365835741,False,-1,True,True,coop,UF,True,0.7055071257162446,0.7311756207453842
092724_Cam2_TrNum11_Coop_KL007Y-KL003G,092724_FiberPho_KL007Y_KL003_TimeOut,multi,test,True,GY,0.7146466832593875,0.7393788551022616,False,-1,True,True,coop,UF,True,0.6479074234390217,0.6787888215561086
092724_Cam2_TrNum15_Coop_KL007Y-KL003B,092724_FiberPho_KL007Y_KL003_TimeOut,multi,test,True,YB,0.6629365281672189,0.6774471068060158,False,-1,True,True,coop,UF,True,0.5826296839153708,0.6007280780015294
092724_Cam1_TrNum15_Coop_KL008G-KL008B,092724_FiberPho_KL008G_KL002_TimeOut,multi,test,True,GB,0.8509377930603313,0.8530243826195686,False,-1,True,False,coop,TP,True,0.8199469886422841,0.8225096384286756
092724_Cam1_TrNum9_Coop_KL008G-KL006R,092724_FiberPho_KL008G_KL002_TimeOut,multi,test,True,RG,0.7200597728631202,0.7236302052201634,False,-1,True,True,coop,UF,True,0.6583034469017732,0.6627465630603706
092724_Cam1_TrNum13_Coop_KL008G-KL002Y,092724_FiberPho_KL008G_KL002_TimeOut,multi,test,True,GY,0.7518078456730252,0.7558061213492834,False,-1,True,True,coop,UF,True,0.701550544239681,0.7064406186011424
093024_Cam2_TrNum13_Coop_KL004G-KL001Y,093024_FiberPho_KL004G-KL001_TimeOut,multi,test,True,GY,0.7649190976048251,0.7805950240677376,False,-1,True,True,coop,UF,True,0.709258829670011,0.7288464884300876
093024_Cam2_TrNum10_Coop_KL004G-KL005B,093024_FiberPho_KL004G-KL001_TimeOut,multi,test,True,GB,0.7268163130570476,0.7459712510878372,False,-1,True,True,coop,UF,True,0.6631680821054526,0.6870892476667767
093024_Cam1_TrNum9_Coop_KL007Y-KL003G,093024_FiberPho_KL007Y_KL003_2X_TimeOut,multi,test,True,GY,0.7031621790857858,0.7246649968691297,False,-1,True,True,coop,UF,True,0.637218221665623,0.6639558547276143
093024_Cam1_TrNum14_Coop_KL007Y-KL003B,093024_FiberPho_KL007Y_KL003_2X_TimeOut,multi,test,True,YB,0.6800014315367547,0.6957626512060697,False,-1,True,True,coop,UF,True,0.6066494882256102,0.6262704888698017
