dir,session,video,color type,color pair,tracked,error,lever,mag,event id,fiber pho
PairedTestingSessions,051424_EB031B-001R-033Y_TimeOut_VEH,051424_Cam3_TrNum11_Coop_EB031B-EB001R,dyed,RB,True,0.0001087618550421996,True,True,True,False
PairedTestingSessions,042224_KL006_TimeOut,042224_Cam4_TrNum12_Coop_KL006G-KL006R,dyed,RG,True,0.00020178630499503804,True,True,True,False
PairedTestingSessions,042224_KL006_TimeOut,042224_Cam4_TrNum5_Coop_KL006G-KL006R,dyed,RG,True,0.0021792564631523503,True,True,True,False
PairedTestingSessions,090924_FiberPho_KL007G-KL002_TimeOut,090924_Cam1_TrNum10_Coop_KL007G-KL002Y,dyed,GY,True,0.0011361879734116556,True,True,True,True
PairedTestingSessions,090924_FiberPho_KL007G-KL002_TimeOut,090924_Cam1_TrNum14_Coop_KL007G-KL002B,dyed,GB,False,,True,True,False,True
PairedTestingSessions,090924_FiberPho_KL007G-KL002_TimeOut,090924_Cam1_TrNum8_Coop_KL007G-KL007Y,dyed,GY,True,0.0012349481075421146,True,True,True,True
PairedTestingSessions,052024_EB027Y-029R-EB023B_TimeOut_VEH_BAD,052024_Cam2_TrNum7_Coop_EB027Y-EB029R,dyed,RY,True,0.00376936896474287,True,True,True,False
PairedTestingSessions,102124_FiberPho_HF008Y_HF001R_TimeOut,102124_Cam2_TrNum4_Coop_HF008Y-HF006G,dyed,GY,True,0.7300686247598134,True,True,True,True
PairedTestingSessions,102124_FiberPho_HF008Y_HF001R_TimeOut,102124_Cam2_TrNum7_Coop_HF008Y-HF006G,dyed,GY,True,0.724094138299915,True,True,True,True
PairedTestingSessions,102124_FiberPho_HF008Y_HF001R_TimeOut,102124_Cam2_TrNum6_Coop_HF008Y-HF001R,dyed,RY,True,0.789407151475266,True,True,True,True
PairedTestingSessions,091324_FiberPho_KL005Y_KL007_TimeOut,091324_Cam2_TrNum8_Coop_KL005Y-KL007G,dyed,GY,True,0.006540856456194013,True,True,True,True
PairedTestingSessions,091324_FiberPho_KL005Y_KL007_TimeOut,091324_Cam2_TrNum12_Coop_KL005Y-KL006R,dyed,RY,True,0.004570767339263759,True,True,True,True
PairedTestingSessions,091324_FiberPho_KL005Y_KL007_TimeOut,091324_Cam2_TrNum10_Coop_KL005Y-KL005B,dyed,YB,True,4.89215032243718e-05,True,True,True,True
PairedTestingSessions,043024_KL001_TimeOut_Opaque,043024_Cam2_TrNum8_Coop_KL001B-KL001Y,dyed,YB,True,0.3174704809115632,True,True,True,False
PairedTestingSessions,043024_KL001_TimeOut_Opaque,043024_Cam2_TrNum6_Coop_KL001B-KL001Y,dyed,YB,True,0.3270449837808262,True,True,True,False
PairedTestingSessions,093024_FiberPho_KL004G-KL001_TimeOut,093024_Cam2_TrNum13_Coop_KL004G-KL001Y,dyed,GY,True,0.0025110183252145674,True,True,True,True
PairedTestingSessions,093024_FiberPho_KL004G-KL001_TimeOut,093024_Cam2_TrNum10_Coop_KL004G-KL005B,dyed,GB,False,,True,True,False,True
PairedTestingSessions,041625_PairedTesting_TimeOut_DREADD_KM011B-SAL_KM011Y-CNO-KM013R-SAL,041625_Cam3_TrNum4_Coop_KM011Y-KM011B_CNO-SAL,collar,YB,True,0.39275447154471543,False,False,False,False
PairedTestingSessions,041625_PairedTesting_TimeOut_DREADD_KM011B-SAL_KM011Y-CNO-KM013R-SAL,041625_Cam3_TrNum6_Coop_KM011Y-KM013R_CNO-SAL,collar,RY,False,,False,False,False,False
PairedTestingSessions,030525_PairedTesting_TimeOut_DREADD_KL009-KL011Y_SAL-DCZ,030525_Cam2_TrNum4_Coop_KM009R-KM011Y_SAL-SAL,collar,RY,False,,False,False,False,False
PairedTestingSessions,030525_PairedTesting_TimeOut_DREADD_KL009-KL011Y_SAL-DCZ,030525_Cam2_TrNum9_Coop_KM009R-KM009G_SAL-DCZ,collar,RG,True,0.06352108036890645,False,False,False,False
PairedTestingSessions,030525_PairedTesting_TimeOut_DREADD_KL009-KL011Y_SAL-DCZ,030525_Cam2_TrNum8_Coop_KM009G-KM011Y_DCZ-SAL,collar,GY,False,,False,False,False,False
PairedTestingSessions,052324_EB015R-011Y_023B_TimeOut_VEH,052324_Cam2_TrNum7_Coop_EB015R-EB023B,dyed,RB,True,0.0011370985126104764,True,True,True,False
PairedTestingSessions,052324_EB015R-011Y_023B_TimeOut_VEH,052324_Cam2_TrNum12_Coop_EB015R-EB011Y,dyed,RY,True,0.001325254670979578,True,True,True,False
PairedTestingSessions,092624_FiberPho_KL002B-KL006_2X_TimeOut,092624_Cam2_TrNum14_Coop_KL002B-KL006R,dyed,RB,True,0.001833530692539822,True,True,True,True
PairedTestingSessions,092624_FiberPho_KL002B-KL006_2X_TimeOut,092624_Cam2_TrNum12_Coop_KL002B-KL002Y,dyed,YB,True,0.00015494867325198527,True,True,True,True
PairedTestingSessions,092624_FiberPho_KL002B-KL006_2X_TimeOut,092624_Cam2_TrNum10_Coop_KL002B-KL008G,dyed,GB,False,,True,True,False,True
