animal id,first date,last date,first center,last center,first nose,first head,last nose,last head
KM016Y,011025,011625,99.51,0.0,0.0022447928166629866,0.0,0.4166666666666667,1.0
HF010B,060524,070324,99.9,99.75,0.0004971551676517704,1.841315435747298e-05,0.0009558338826631509,0.0
KL001Y,032224,032424,0.8,1.48,0.8072126415513285,0.7579564799052624,0.8263294135049183,0.8194955994379114
KL002G,032224,032424,4.04,4.64,0.6137526478735539,0.40472543588072346,0.2678478374153205,0.23769324300851138
NM024R,121124,011525,99.72,99.89,0.002134170365895301,0.000223267053662893,0.0005862372191665086,0.0008362501508698726
EB001,032624,032624,99.68,99.68,0.0016816661430709811,0.0007853935283573263,0.0016816661430709811,0.0007853935283573263
EB022G,032724,040124,99.94,98.29,0.0003950305161073693,3.950305161073693e-05,0.0,0.0
HF004Y,051624,061024,99.89,99.72,0.0003778135048231511,0.0,0.0009884475196145054,1.2355593995181319e-05
NF007R,121124,011625,99.11,99.76,0.0061428123096235855,0.00030921744909450055,0.001260728552782502,0.0004993473875726773
NF021R,121824,012125,99.23,99.93,0.004522348574040473,0.004210701275676275,0.00046182266009852215,0.0021625029322073657
EB031R,032724,040124,7.58,99.95,0.46615505515508426,0.31749342698863914,0.0003700996493305823,0.0
KL008G,032224,032824,4.27,10.39,0.570720912575693,0.565832114220107,0.355094195814624,0.4260600135867314
EB005,032724,032724,99.87,99.87,0.0009657863977653189,0.0008172038750321929,0.0009657863977653189,0.0008172038750321929
KL001B,032224,032424,0.99,3.19,0.8344060488658377,0.7656272782186674,0.8065657982776111,0.8131380717014526
NM027Y,121124,031725,99.73,98.38,0.0021285261926973155,0.00014452955629426219,0.008050944695173258,0.0
KM015G,010925,012125,6.46,99.58,0.16046800804763733,0.6534036285700853,0.0019915068091960757,0.00016107775662615317
NF022Y,121124,031725,99.0,99.9,0.005986336464560205,0.0022630230572160547,0.0005142241021813055,0.0016421995521273948
EB015,032824,032824,99.89,99.89,0.0005876093092120483,0.0012214870679683524,0.0005876093092120483,0.0012214870679683524
NM013G,102924,020425,97.79,99.54,0.011185022757006762,0.0008798761724004496,0.0022905532033039495,0.0
NF005R,110724,110724,99.65,99.65,0.002876684994678964,0.0,0.002876684994678964,0.0
EB001R,032524,041724,10.06,99.92,0.5548518506731167,0.42236084147544634,8.34299730521187e-05,0.0
NM028R,110624,020525,0.0,99.92,0.0,0.0,0.0001754402164378249,0.0
NM003G,102524,020325,99.68,99.9,0.0018653330375688157,9.074593155740184e-05,0.0,0.0
EB003,032624,032724,0.0,7.23,0.3783783783783784,1.0,0.42579115975038423,0.5054256245023424
NM004B,102824,020325,99.82,99.91,0.0008950321104303536,1.3840702738613716e-05,0.00038598001811137006,1.4845385311975773e-05
KM013R,010925,011525,98.6,99.21,0.00018475019134841248,0.0,0.0004028946430508422,1.5495947809647776e-05
NF019R,102824,020425,6.43,99.97,0.6489488408165527,0.45513299910441424,4.413354811660083e-05,0.0
EB034,032724,040124,99.9,67.7,4.918597216073976e-05,0.0012665387831390488,0.0,0.0
EB024G,032724,040124,99.77,97.21,0.0007690241937452699,2.4413466468103806e-05,0.0,0.0
KL007R,032224,032824,4.68,99.31,0.2715890934807093,0.22839781031457085,0.0033219127066885148,0.0007448234768359899
NM012Y,121224,010725,98.63,99.95,0.010066698910097068,0.0007648441630017884,0.0,0.0
EB030G,040924,040924,99.89,99.89,0.0,0.0,0.0,0.0
EB027Y,032724,040824,7.05,99.89,0.3686160786209119,0.3773254105895621,0.00022015498911233508,0.0
NM004Y,102824,020325,99.45,99.94,0.003121133211442924,0.00030472602360241566,0.00025994860444734924,0.00023024019251050934
NM002B,102524,020325,99.42,99.52,0.003069867919880237,0.00036952113850410265,0.0029223725022682677,0.0
NM003R,102524,020325,6.01,99.89,0.6738375778553676,0.4579958342976163,0.0005791226292167366,0.0
NM027B,121224,031725,97.54,99.87,0.016186879858433926,0.0018564747519433736,0.0,0.0
EB004G,032524,043024,99.62,99.9,0.002542181379933715,3.766194636938837e-05,0.000140805406927626,0.0005523904425622252
KL003G,032224,032524,2.22,3.0,0.4023486939021101,0.48052783368259433,0.7476357076477341,0.737057890996556
NF029G,110124,112024,5.76,99.37,0.6466900563198227,0.49891976733450283,0.004464625260499856,0.0011789044554982582
KL005B,032224,032424,1.24,2.58,0.8118416911941653,0.7108161640843376,0.7930699578639094,0.7001314885096973
NM005G,102824,020325,5.41,99.39,0.7267085899752886,0.5764854497842363,0.004066418163334463,0.0009149440867502541
KL008B,032224,032824,4.13,5.64,0.6561510984434862,0.6437323018267291,0.39698300301963424,0.43096377757558973
NM024G,121124,011525,98.45,99.95,0.011552120610126134,0.006667301647775978,6.201935003721161e-05,0.0
NF033B,121224,011625,98.62,99.62,0.008736059479553903,0.005252949733311783,0.0017561744126778185,0.0003243593902043464
EB030,032724,040124,99.57,99.91,0.0021836889538649445,0.0001202879508484927,3.9809709588168556e-05,0.0
EB006,032724,032724,99.91,99.91,0.0005231709667648759,0.0016521188424153978,0.0005231709667648759,0.0016521188424153978
NM034B,012825,030425,99.61,99.94,0.0007328341564441613,0.0,0.00036318477904306667,0.0002694596747738882
EB005Y,032524,040224,4.12,99.83,0.11403142534190079,0.4266148002566165,0.000567451448159257,0.00010422577619251659
EB004,032624,032724,0.0,99.81,0.015384615384615385,0.006153846153846154,0.0010001296464356491,0.004926564554664494
NF033R,121224,011625,98.74,4.8,0.008693257808197625,0.002472549085718781,0.7014655007068217,0.669200332454838
NF023R,030425,031825,99.74,99.9,0.001148401612449611,0.0005859191900253117,0.0004499973529567473,0.0
NM034R,012825,031425,99.91,99.71,0.0005364452660768519,0.0,0.0016733367729700333,0.000718140365066306
NF032B,110424,020325,8.16,99.71,0.5094492614741032,0.4364536014079446,0.001365978233433802,0.0001187807159507654
EB018G,032524,040824,99.09,99.91,0.0055247084952804,0.0005922635572829909,0.00016118979561133916,0.0
NF031G,110424,020325,4.18,99.85,0.6955836688811285,0.6830432418984788,0.00015539747220111885,0.0
KL008R,032224,032824,99.62,99.89,0.0018888539101127757,0.004129553156423029,0.000518173069805315,0.0004626545266118884
KM015R,010925,012225,99.79,99.98,0.0014996140699084794,0.0,5.977911616576749e-05,0.0012179994918775127
NF029R,110124,112524,99.55,98.48,0.0031441611728366603,0.0008851597436724909,0.011718823242645266,0.0028781429883936774
KL006B,032224,032424,99.72,99.58,0.0005599841886817313,0.0002964622175373872,0.0007825950853028644,0.0003912975426514322
HF014G,070224,080124,99.89,99.68,0.0005501456424212786,7.17581272723407e-05,0.0016962303986141436,8.421001978935465e-05
EB018,032824,032824,99.91,99.91,0.00015741323752731581,0.0017593244194229415,0.00015741323752731581,0.0017593244194229415
NM006Y,102824,020425,99.85,99.73,0.0010880790793744467,0.002328304809678371,0.0006022840464222011,0.0
NM008B,110724,110724,98.29,98.29,0.013051095538011178,0.00023840149028652534,0.013051095538011178,0.00023840149028652534
